day,format,pillar,product_or_offer,hook,cta,automation_keyword
1,Reel,Brand Feeling,Omah brand,"wellness does not have to feel heavy","comment BEGIN for the starter ritual","BEGIN"
2,Carousel,Education,Find your ritual,"choose by what you want to feel","save this guide",""
3,Reel,Ritual Looks,Mini Aroma Diffuser,"your desk needs a softer reset","comment CALM for the desk kit","CALM"
4,Story Poll,DM Trigger,Feeling quiz,"what do you need today: calm/focus/abundance","reply with your mood",""
5,Reel,UGC Style,Intention Candle,"i lit this before my sunday reset","dm GLOW for candle options","GLOW"
6,Carousel,Gift Guide,Under Rs. 999 gifts,"gift ideas that do not feel random","comment GIFT for the list","GIFT"
7,Reel,Ritual Looks,Herbal Tea Rituals,"the 5-minute wind-down i actually use","comment SIP for tea rituals","SIP"
8,Reel,Product Education,Evil Eye Bracelet,"tiny protection energy, daily wear","comment SHIELD for options","SHIELD"
9,Carousel,Education,Calm Kit,"how to build a calm kit under Rs. 999","save this bundle",""
10,Reel,Bundle,Calm Kit,"build a calm kit with me","comment CALM for the kit","CALM"
11,Story,Behind Scenes,Packaging,"packing the first Omah ritual kits","reply PACK for availability","PACK"
12,Reel,UGC Style,Energy Journal,"this journal makes my night routine feel less chaotic","dm JOURNAL","JOURNAL"
13,Carousel,Product Guide,Diffuser vs candle,"diffuser or candle: which one should you start with","save this guide",""
14,Reel,Founder POV,Omah origin,"why we chose Omah","follow for the first drop",""
15,Reel,Ritual Looks,Raw Pyrite Bracelet,"my workday abundance cue","comment PYRITE for the bracelet","PYRITE"
16,Carousel,Gift Guide,Desk Energy Kit,"for the friend who lives at their desk","comment DESK","DESK"
17,Reel,Bundle,Desk Energy Kit,"desk reset but make it energetic","comment DESK for the kit","DESK"
18,Story Poll,Research,Product testing,"what should we launch first: candle/oil/journal/tea","vote now",""
19,Reel,Product Education,Lip & Pulse Balm,"a tiny handbag ritual","dm BALM","BALM"
20,Carousel,Education,Claims-safe rituals,"what we mean by energy at Omah","save this",""
21,Reel,UGC Style,Ritual Tray,"things on my bedside tray that calm me down","comment TRAY","TRAY"
22,Reel,Ritual Looks,Karungali 108 Mala,"a quiet daily-wear ritual","comment MALA","MALA"
23,Carousel,Product Guide,Protection Mini Kit,"protection gift kit under Rs. 999","comment SHIELD","SHIELD"
24,Reel,Bundle,Protection Mini Kit,"gift this to someone starting fresh","dm SHIELD","SHIELD"
25,Story,FAQ,Customer questions,"ask us anything about choosing your first ritual","reply with your question",""
26,Reel,Founder POV,Sourcing,"what we look for before adding a product","follow the build",""
27,Carousel,Offer,First drop waitlist,"first Omah drop list","comment DROP","DROP"
28,Reel,UGC Style,Gift Starter Kit,"i found the cutest under Rs. 999 wellness gift","comment GIFT","GIFT"
29,Reel,Social Proof,Early reactions,"what people are saving most","dm BESTSELLERS","BESTSELLERS"
30,Carousel,Launch Recap,Top 5 products,"the first Omah collection is taking shape","comment OMAH","OMAH"
