Rank,Domain,Example Products,Margin Potential,Competition,Why It Fits Omah,Launch Priority
1,Wearable ritual jewellery,"intention necklaces, bracelets, charm stacks, birthstone-style pieces, evil-eye pieces",High,Medium-high,"Strong visual identity, giftable, low weight, easy shipping, high perceived value",Start now
2,Sleep and stress ritual kits,"sleep roll-ons, pillow mists, calming oils, bedtime tea, sleep journal, candle bundle",High,Medium,"Strong consumer pain point, high bundle potential, repeatable consumables",Start now
3,Home fragrance and room rituals,"candles, incense cones, diffuser oils, ceramic holders, room sprays",High,Medium,"Fits Place; gifting-friendly; easy content; premium packaging matters",Start now
4,Herbal tea and adaptogen infusions,"sleep tea, calm tea, focus tea, digestion tea, blue-pea/tulsi/chamomile blends",Medium-high,Medium,"Repeat purchase, subscription potential, rooted in Indian botanical wellness",Phase 2
5,Desk and work-energy rituals,"desk trays, pyrite/citrine bracelet, focus oil, mini diffuser, journal bundle",High,Low-medium,"Distinct positioning; good for young professionals and gifting",Start now
6,Premium spiritual gifting,"ritual gift boxes, wedding favors, housewarming sets, corporate calm kits",Very high,Low-medium,"Bundles raise AOV; less commodity than single SKUs",Start now
7,Journals and guided ritual cards,"energy journal, manifestation cards, ritual prompt deck, affirmation cards",Very high,Medium,"Digital/print margins; supports brand education; good upsell",Start now
8,Non-ingestive aromatherapy body care,"pulse-point balm, roll-ons, body oils, bath salts, temple/neck oil",High,Medium,"Avoids harder supplement regulation; tactile and premium",Phase 2
9,Functional gummies/supplements,"sleep gummies, stress gummies, ashwagandha, magnesium",High,High/regulatory,"Large demand but higher compliance, trust, and formulation burden",Later
10,Yoga/movement accessories,"straps, blocks, mats, meditation cushions",Medium,High,"Fits wellness but can become commodity quickly",Later/selective
